id,carat,price,cut,cut_nom,clarity,clarity_nom,color,color_nom,diamond_shape,ring_setting,ring_metal,metal_quality,merchant_title,ring_title,ring_description,prod_name_raw,mrch_id,product_url,image_url,image_url2,image_url3,votes
1,1.01,5000,Very Good,3,SI2,1,E,6,PEAR,SOLITAIRE,PLATINUM,PLATINUM,Amazon - Chandni Jewelers,1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring,1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring (E Color SI2 Clarity),1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring,1,http://www.amazon.com/Certified-Platinum-Asscher-Solitaire-Engagement/dp/B00GPCO774/ref=sr_1_4?s=apparel&ie=UTF8&qid=1408158068&sr=1-4,http://ecx.images-amazon.com/images/I/31q%2BIkryjnL.jpg,,,17
2,1.01,4700,Very Good,3,SI2,1,E,6,PEAR,SOLITAIRE,YELLOW GOLD,YELLOW GOLD,Amazon - Chandni Jewelers,1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring,1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring (E Color SI2 Clarity),1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring,1,http://www.amazon.com/Certified-Platinum-Asscher-Solitaire-Engagement/dp/B00GPCO774/ref=sr_1_4?s=apparel&ie=UTF8&qid=1408158068&sr=1-4,http://ecx.images-amazon.com/images/I/41lwMm1Ix0L.jpg,,,84
3,1.01,4700,Very Good,3,SI2,1,E,6,PEAR,SOLITAIRE,WHITE GOLD,WHITE GOLD,Amazon - Chandni Jewelers,1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring,1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring (E Color SI2 Clarity),1.01 Carat GIA Certified Pear Cut Solitaire Diamond Engagement Ring,1,http://www.amazon.com/Certified-Platinum-Asscher-Solitaire-Engagement/dp/B00GPCO774/ref=sr_1_4?s=apparel&ie=UTF8&qid=1408158068&sr=1-4,http://ecx.images-amazon.com/images/I/31q%2BIkryjnL.jpg,,,91
4,1.5,4960,Ideal Cut,5,I1,1,J,1,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Amazon - Houston Diamond District,1 1/2 Carat Princess Cut Diamond Solitaire Engagement Ring,"1 1/2 Carat Princess Cut Diamond Solitaire Engagement Ring 14K White Gold V Prong (J, I1, 1.5 c.t.w) Ideal Cut","1 1/2 Carat Princess Cut Diamond Solitaire Engagement Ring 14K White Gold V Prong (J, I1, 1.5 c.t.w) Ideal Cut",2,http://www.amazon.com/Princess-Diamond-Solitaire-Engagement-Ring/dp/B00C1R32AK/ref=sr_1_12?s=apparel&ie=UTF8&qid=1408158068&sr=1-12,http://ecx.images-amazon.com/images/I/4183iGbD9IL.jpg,,,31
5,1.2,4230,Ideal Cut,5,SI2,1,J,1,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Amazon - Houston Diamond District,1 1/4 Carat Round Cut Diamond Solitaire Engagement Ring,"1 1/4 Carat Round Cut Diamond Solitaire Engagement Ring 14K White Gold 6 Prong (J, SI2, 1.2 c.t.w) Ideal Cut","1 1/4 Carat Round Cut Diamond Solitaire Engagement Ring 14K White Gold 6 Prong (J, SI2, 1.2 c.t.w) Ideal Cut",2,,,,,86
6,0.5,1800,Very Good,3,I1,1,H,3,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1/2 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 14K white gold, a 1/2 ct. princess-cut certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of H-I and clarity of I1 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",1/2 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring in 14K White Gold (H-I/I1),3,http://www.zales.com/certified-canadian-princess-cut-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=34778176&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-12946432t400.jpg,,,26
7,0.5,1800,Very Good,3,I1,1,H,3,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1/2 CT. Certified Canadian Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 14K white gold, a 1/2 ct. certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of H-I and clarity of I1 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",1/2 CT. Certified Canadian Diamond Solitaire Engagement Ring in 14K White Gold (H-I/I1),3,http://www.zales.com/certified-canadian-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=34778226&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-12946435t400.jpg,,,29
8,1,5000,Very Good,3,I1,1,H,3,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 14K white gold, a 1 ct. princess-cut certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of H-I and clarity of I1 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",1 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring in 14K White Gold (H-I/I1),3,http://www.zales.com/certified-canadian-princess-cut-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=34777946&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-12946430t400.jpg,,,59
9,1,5000,Very Good,3,I1,1,H,3,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1 CT. Certified Canadian Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 14K white gold, a 1 ct. certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of H-I and clarity of I1 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",1 CT. Certified Canadian Diamond Solitaire Engagement Ring in 14K White Gold (H-I/I1),3,http://www.zales.com/certified-canadian-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=34778166&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-12946444t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-12946444_alternate1_t400.jpg,,11
10,0.5,2700,Very Good,3,SI2,1,I,2,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1/2 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 14K white gold, a 1/2 ct. princess-cut certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of H-I and clarity of I1 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",1/2 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring in 18K White Gold (I/SI2),3,http://www.zales.com/certified-canadian-princess-cut-diamond-solitaire-engagement-ring-18k-white-gold/product.jsp?productId=11791699&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-10633310t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-10633310_alternate1_t400.jpg,,17
11,0.5,3000,Very Good,3,SI2,1,I,2,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1/2 CT. Certified Canadian Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 18K white gold, a 1/2 ct. certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of I and a clarity of SI2 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",1/2 CT. Certified Canadian Diamond Solitaire Engagement Ring in 18K White Gold (I/SI2),3,http://www.zales.com/certified-canadian-diamond-solitaire-engagement-ring-18k-white-gold/product.jsp?productId=11791698&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-10633309t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-10633309_alternate1_t400.jpg,,41
12,0.75,4498,Very Good,3,SI2,1,I,2,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,3/4 CT. Certified Canadian Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 18K white gold, a 3/4 ct. certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of I and a clarity of SI2 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",3/4 CT. Certified Canadian Diamond Solitaire Engagement Ring in 18K White Gold (I/SI2),3,http://www.zales.com/certified-canadian-diamond-solitaire-engagement-ring-18k-white-gold/product.jsp?productId=11791700&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-10633311t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-10633311_alternate1_t400.jpg,,74
13,0.75,4498,Very Good,3,SI2,1,I,2,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,3/4 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 18K white gold, a 3/4 ct. princess-cut certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of I and a clarity of SI2 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",3/4 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring in 18K White Gold (I/SI2),3,http://www.zales.com/certified-canadian-princess-cut-diamond-solitaire-engagement-ring-18k-white-gold/product.jsp?productId=11791701&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-10633312t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-10633312_alternate1_t400.jpg,,27
